NDVI_JUN, NDVI_JUL, NDVI_AUG, NDVI_SEP, NDVI_OCT, NDVI_NOV
0.281341, 0.482864, 0.564438, 0.569126, 0.493978, 0.422628
0.268197, 0.393322, 0.52893, 0.514287, 0.423499, 0.398445
0.20948, 0.175388, 0.432321, 0.571112, 0.516523, 0.48099
0.164486, 0.190717, 0.4683, 0.583798, 0.526822, 0.430029
0.31562, 0.33106, 0.568669, 0.692636, 0.677345, 0.606708
0.293334, 0.377337, 0.55911, 0.541306, 0.42485, 0.376474
0.32921, 0.444907, 0.621517, 0.581087, 0.501718, 0.427474
0.108369, 0.108002, 0.39339, 0.582255, 0.48588, 0.462373
0.212491, 0.176944, 0.383641, 0.557763, 0.518147, 0.468864
0.180403, 0.174906, 0.420757, 0.493311, 0.479999, 0.402289
0.275596, 0.338236, 0.529684, 0.624238, 0.543428, 0.47955
0.17735, 0.143606, 0.534351, 0.634441, 0.574733, 0.473538
0.315898, 0.415326, 0.556549, 0.631201, 0.556848, 0.480352
0.336092, 0.355371, 0.536234, 0.693309, 0.647354, 0.579513
0.214253, 0.353618, 0.467429, 0.460699, 0.417006, 0.412178
0.26772, 0.456566, 0.580116, 0.484999, 0.440305, 0.400962
0.28986, 0.297672, 0.409851, 0.571199, 0.525432, 0.469623
0.28781, 0.387516, 0.569196, 0.503035, 0.461703, 0.41929
0.334144, 0.447678, 0.614358, 0.599399, 0.524148, 0.465632
0.237541, 0.354136, 0.426538, 0.560169, 0.501656, 0.451508
0.259432, 0.355386, 0.541638, 0.514565, 0.413811, 0.418282
0.198273, 0.279196, 0.451514, 0.539353, 0.495873, 0.432835
0.304653, 0.456959, 0.607972, 0.612014, 0.552594, 0.471408
0.23266, 0.459232, 0.557848, 0.532986, 0.465971, 0.413152
0.304847, 0.454057, 0.600382, 0.605418, 0.53542, 0.467896
0.233655, 0.205031, 0.422872, 0.52683, 0.458111, 0.460555
0.31529, 0.305584, 0.477775, 0.629609, 0.59363, 0.522047
0.315201, 0.402346, 0.550249, 0.651807, 0.620024, 0.567471
0.293397, 0.347323, 0.497707, 0.485169, 0.413276, 0.426286
0.283056, 0.424387, 0.636554, 0.602118, 0.54874, 0.453001
0.312684, 0.480505, 0.638036, 0.587077, 0.500865, 0.418414
0.344367, 0.477595, 0.56923, 0.637365, 0.597874, 0.559195
0.318246, 0.461714, 0.632001, 0.550025, 0.426914, 0.393477
0.21387, 0.342864, 0.426913, 0.476592, 0.423366, 0.392586
0.343024, 0.454277, 0.595589, 0.647775, 0.643518, 0.594897
0.189894, 0.382332, 0.479923, 0.475564, 0.372303, 0.363984
0.364081, 0.356021, 0.535958, 0.644835, 0.6155, 0.499516
0.23915, 0.218902, 0.608442, 0.543625, 0.344781, 0.305606
0.500605, 0.291702, 0.54947, 0.76372, 0.738482, 0.636815
0.230622, 0.277748, 0.534255, 0.561571, 0.464651, 0.396867
0.324806, 0.240464, 0.545, 0.674599, 0.563753, 0.498343
0.195262, 0.250684, 0.444277, 0.44636, 0.336824, 0.32078
0.245236, 0.104135, 0.537838, 0.558517, 0.398031, 0.383666
0.293387, 0.227433, 0.551283, 0.674982, 0.519731, 0.483134
0.275828, 0.318897, 0.61692, 0.587851, 0.44952, 0.38766
0.34532, 0.278074, 0.558216, 0.662005, 0.609689, 0.526796
0.289616, 0.276219, 0.59674, 0.596404, 0.454802, 0.404743
0.220719, 0.292532, 0.54255, 0.541615, 0.417174, 0.320937
0.2715, 0.193946, 0.567379, 0.597786, 0.441476, 0.440781
0.22065, 0.221929, 0.581371, 0.593927, 0.429762, 0.39244
0.439883, 0.403252, 0.541808, 0.713191, 0.668381, 0.576699
0.254941, 0.17425, 0.554086, 0.535961, 0.39561, 0.345353
0.241321, 0.268183, 0.5249, 0.528031, 0.457966, 0.352153
0.253797, 0.169659, 0.659929, 0.637419, 0.420407, 0.435967
0.340242, 0.140299, 0.597001, 0.661737, 0.535972, 0.469027
0.231102, 0.180182, 0.541372, 0.581998, 0.397183, 0.40555
0.314652, 0.213271, 0.581149, 0.632452, 0.56005, 0.480755
0.244285, 0.217224, 0.51895, 0.595648, 0.46958, 0.405589
0.322954, 0.340231, 0.606426, 0.637485, 0.565584, 0.464561
0.40432, 0.264628, 0.572438, 0.689767, 0.648364, 0.5549
0.19089, 0.155553, 0.598229, 0.556681, 0.337815, 0.341781
0.210642, 0.266163, 0.505791, 0.451693, 0.362835, 0.326453
0.354613, 0.238412, 0.589252, 0.646949, 0.574747, 0.52132
0.231799, 0.238915, 0.628547, 0.562203, 0.383289, 0.364526
0.292804, 0.307007, 0.624725, 0.589461, 0.517425, 0.450037
0.291232, 0.148877, 0.56569, 0.620526, 0.519454, 0.453739
0.229308, 0.113928, 0.557543, 0.535779, 0.386699, 0.352459
0.215428, 0.177317, 0.598922, 0.589563, 0.387371, 0.370683
0.281881, 0.37446, 0.567209, 0.597146, 0.54919, 0.430753
0.290094, 0.248316, 0.617853, 0.607115, 0.430712, 0.390222
0.287924, 0.317343, 0.607262, 0.604996, 0.54618, 0.451821
0.264654, 0.119188, 0.586798, 0.596392, 0.42976, 0.4165
0.371808, 0.291223, 0.585079, 0.655401, 0.589608, 0.490302
0.37159, 0.398684, 0.550291, 0.63319, 0.60731, 0.510206
0.231526, 0.119142, 0.609207, 0.535267, 0.374143, 0.361299
0.271914, 0.313572, 0.589545, 0.546032, 0.455258, 0.403009
0.27299, 0.274811, 0.625322, 0.555932, 0.435495, 0.357863
0.387756, 0.434873, 0.580242, 0.62729, 0.587976, 0.503171
0.261494, 0.310372, 0.63192, 0.568413, 0.390678, 0.343694
0.223932, 0.150546, 0.642927, 0.54435, 0.330802, 0.356212
0.402688, 0.379485, 0.605298, 0.659874, 0.636296, 0.55301
0.234399, 0.162007, 0.618883, 0.564178, 0.35643, 0.327895
0.390803, 0.524582, 0.55323, 0.577129, 0.505673, 0.459444
0.249458, 0.439013, 0.673093, 0.403152, 0.31485, 0.315836
0.49391, 0.59355, 0.674468, 0.757452, 0.700914, 0.617975
