Domain,Area,Element,Item,Year,Unit,Value
Crops,Harda,Yield,Soybean,2012,hg/ha,"12077,27"
Crops,Hoshangabad,Yield,Soybean,2012,hg/ha,"8619,98"
Crops,Indore,Yield,Soybean,2012,hg/ha,14540
Crops,Jabalpur,Yield,Soybean,2012,hg/ha,"13357,52"
Crops,Jhabua,Yield,Soybean,2012,hg/ha,"9869,64"
Crops,Katni,Yield,Soybean,2012,hg/ha,"7698,21"
Crops,Mandla,Yield,Soybean,2012,hg/ha,"6113,79"
Crops,Mandsaur,Yield,Soybean,2012,hg/ha,17770
Crops,Morena,Yield,Soybean,2012,hg/ha,"12886,9"
Crops,Narsinghpur,Yield,Soybean,2012,hg/ha,"17885,22"
Crops,Neemuch,Yield,Soybean,2012,hg/ha,"15723,25"
Crops,Panna,Yield,Soybean,2012,hg/ha,"8573,69"
Crops,Raisen,Yield,Soybean,2012,hg/ha,"9254,51"
Crops,Rajgarh,Yield,Soybean,2012,hg/ha,12280
Crops,Ratlam,Yield,Soybean,2012,hg/ha,15000
Crops,Rewa,Yield,Soybean,2012,hg/ha,"5832,32"
Crops,Sagar,Yield,Soybean,2012,hg/ha,"13079,99"
Crops,Satna,Yield,Soybean,2012,hg/ha,"5091,43"
Crops,Sehore,Yield,Soybean,2012,hg/ha,"12362,11"
Crops,Seoni,Yield,Soybean,2012,hg/ha,"12411,89"
Crops,Shahdol,Yield,Soybean,2012,hg/ha,"9570,38"
Crops,Shajapur,Yield,Soybean,2012,hg/ha,"13419,99"
Crops,Sheopur,Yield,Soybean,2012,hg/ha,"13031,73"
Crops,Shivpuri,Yield,Soybean,2012,hg/ha,"9113,5"
Crops,Sidhi,Yield,Soybean,2012,hg/ha,"5522,39"
Crops,Tikamgarh,Yield,Soybean,2012,hg/ha,"7098,36"
Crops,Ujjain,Yield,Soybean,2012,hg/ha,14670
Crops,Umaria,Yield,Soybean,2012,hg/ha,"3368,16"
Crops,Vidisha,Yield,Soybean,2012,hg/ha,"11108,8"
Crops,Anuppur,Yield,Soybean,2013,hg/ha,7847
Crops,Ashoknagar,Yield,Soybean,2013,hg/ha,"9358,84"
Crops,Balaghat,Yield,Soybean,2013,hg/ha,"7111,11"
Crops,Barwani,Yield,Soybean,2013,hg/ha,"10459,27"
Crops,Betul,Yield,Soybean,2013,hg/ha,"6297,07"
Crops,Bhind,Yield,Soybean,2013,hg/ha,"11290,32"
Crops,Bhopal,Yield,Soybean,2013,hg/ha,"6350,41"
Crops,Burhanpur,Yield,Soybean,2013,hg/ha,"14307,96"
Crops,Chhatarpur,Yield,Soybean,2013,hg/ha,"5976,76"
Crops,Chhindwara,Yield,Soybean,2013,hg/ha,"7693,42"
Crops,Damoh,Yield,Soybean,2013,hg/ha,"5043,01"
Crops,Datia,Yield,Soybean,2013,hg/ha,"8174,11"
Crops,Dewas,Yield,Soybean,2013,hg/ha,"7620,01"
Crops,Dhar,Yield,Soybean,2013,hg/ha,"14829,99"
Crops,Dindori,Yield,Soybean,2013,hg/ha,"8003,88"
Crops,Guna,Yield,Soybean,2013,hg/ha,"6003,56"
Crops,Gwalior,Yield,Soybean,2013,hg/ha,"13808,08"
Crops,Harda,Yield,Soybean,2013,hg/ha,"2668,29"
Crops,Hoshangabad,Yield,Soybean,2013,hg/ha,"989,99"
Crops,Indore,Yield,Soybean,2013,hg/ha,"10070,02"
Crops,Jabalpur,Yield,Soybean,2013,hg/ha,"2763,9"
Crops,Jhabua,Yield,Soybean,2013,hg/ha,"7821,24"
Crops,Katni,Yield,Soybean,2013,hg/ha,"13333,33"
Crops,Mandla,Yield,Soybean,2013,hg/ha,"685,65"
Crops,Mandsaur,Yield,Soybean,2013,hg/ha,11060
Crops,Morena,Yield,Soybean,2013,hg/ha,"13488,89"
Crops,Narsinghpur,Yield,Soybean,2013,hg/ha,"3937,89"
Crops,Neemuch,Yield,Soybean,2013,hg/ha,"10672,98"
Crops,Panna,Yield,Soybean,2013,hg/ha,"6048,17"
Crops,Raisen,Yield,Soybean,2013,hg/ha,"2408,11"
Crops,Rajgarh,Yield,Soybean,2013,hg/ha,"5770,01"
Crops,Ratlam,Yield,Soybean,2013,hg/ha,"11039,98"
Crops,Rewa,Yield,Soybean,2013,hg/ha,"9405,68"
Crops,Sagar,Yield,Soybean,2013,hg/ha,"4260,01"
Crops,Satna,Yield,Soybean,2013,hg/ha,"2140,14"
Crops,Sehore,Yield,Soybean,2013,hg/ha,"4825,05"
Crops,Seoni,Yield,Soybean,2013,hg/ha,"2579,26"
Crops,Shahdol,Yield,Soybean,2013,hg/ha,"11206,32"
Crops,Shajapur,Yield,Soybean,2013,hg/ha,"7719,99"
Crops,Sheopur,Yield,Soybean,2013,hg/ha,"14052,64"
Crops,Shivpuri,Yield,Soybean,2013,hg/ha,"6287,05"
Crops,Sidhi,Yield,Soybean,2013,hg/ha,"4924,81"
Crops,Tikamgarh,Yield,Soybean,2013,hg/ha,5550
Crops,Ujjain,Yield,Soybean,2013,hg/ha,7820
Crops,Umaria,Yield,Soybean,2013,hg/ha,"1667,19"
Crops,Vidisha,Yield,Soybean,2013,hg/ha,"10117,08"
Crops,Anuppur,Yield,Soybean,2014,hg/ha,"12307,69"
Crops,Ashoknagar,Yield,Soybean,2014,hg/ha,"7272,73"
Crops,Balaghat,Yield,Soybean,2014,hg/ha,"7142,86"
Crops,Barwani,Yield,Soybean,2014,hg/ha,"13333,33"
Crops,Betul,Yield,Soybean,2014,hg/ha,"20638,3"
Crops,Bhind,Yield,Soybean,2014,hg/ha,"9090,91"
Crops,Bhopal,Yield,Soybean,2014,hg/ha,"10363,64"
Crops,Burhanpur,Yield,Soybean,2014,hg/ha,"6296,3"
Crops,Chhatarpur,Yield,Soybean,2014,hg/ha,14375
Crops,Chhindwara,Yield,Soybean,2014,hg/ha,"11717,17"
Crops,Damoh,Yield,Soybean,2014,hg/ha,"11836,73"
Crops,Datia,Yield,Soybean,2014,hg/ha,"12727,27"
