DISTRICTS,YEAR,LST_JUN,LST_JUL,LST_AUG,LST_SEP,LST_OCT,LST_NOV
Harda,2012,316.133,308.1931,301.4736,304.74,308.9132,305.0179
Harda,2013,315.7681,300.6863,300.5562,305.7265,307.5787,304.3275
Harda,2014,317.9764,314.2844,307.0525,303.8966,307.6281,306.9465
Harda,2015,317.565,311.0765,300.7133,307.0526,311.039,307.4911
Harda,2016,316.5368,300.5293,301.2702,303.4248,306.866,305.6434
Harda,2017,316.0491,307.4637,302.9756,304.2444,308.5609,305.6012
Harda,2018,311.8441,312.5862,295.6994,305.0544,310.1048,306.6401
Harda,2019,319.5238,310.7688,301.1484,301.8478,304.9249,304.9761
Hoshangabad,2010,316.3379,312.8677,302.7961,302.7709,305.7216,304.1492
Hoshangabad,2011,316.1271,304.9074,301.7071,303.7424,307.1371,305.0718
Hoshangabad,2012,315.5919,306.7329,301.8391,304.4205,307.2516,302.9855
Hoshangabad,2013,314.4292,299.4128,298.9872,305.5085,305.7862,302.724
Hoshangabad,2014,315.625,311.6724,306.794,303.6946,305.9856,304.3824
Hoshangabad,2015,315.0183,307.9527,302.0998,304.9828,307.8919,305.0855
Hoshangabad,2016,314.6512,303.8218,302.252,302.6597,304.8346,303.4104
Hoshangabad,2017,314.2044,305.9947,302.9194,303.0106,305.4078,303.5768
Hoshangabad,2018,311.1629,309.9088,291.5827,303.0965,306.4084,304.48
Hoshangabad,2019,316.5951,309.0028,301.1887,299.2099,302.8104,303.1349
Indore,2010,315.6965,305.4967,299.9388,306.3645,309.4313,305.3659
Indore,2011,314.4775,305.0525,299.9853,305.1299,310.0048,307.2537
Indore,2012,314.4316,311.7365,300.7703,304.2751,308.982,305.4601
Indore,2013,311.9108,304.8433,299.8394,305.5573,306.8469,304.1523
Indore,2014,315.8342,310.9083,304.287,303.0575,308.9376,307.1616
Indore,2015,316.2363,304.1451,301.2331,307.6686,311.0883,306.6938
Indore,2016,316.9922,300.3567,297.9186,304.5593,307.9661,306.1556
Indore,2017,312.5012,306.3926,299.1112,306.4202,310.257,304.9972
Indore,2018,310.7923,303.7242,295.5171,307.2867,310.559,305.622
Indore,2019,316.931,306.62,299.3329,301.7204,304.7634,304.3769
Jabalpur,2010,316.7896,310.5466,303.1465,303.3754,304.2091,303.6489
Jabalpur,2011,317.6155,304.4988,303.275,303.2703,305.8794,304.4763
Jabalpur,2012,315.2156,311.4629,301.1277,303.6486,305.5913,303.1486
Jabalpur,2013,317.6834,302.7026,301.563,303.8172,303.2894,302.4764
Jabalpur,2014,317.4249,311.1866,305.2622,305.4069,304.9604,303.8776
Jabalpur,2015,315.652,304.5863,303.8992,305.0303,306.9795,303.9959
Jabalpur,2016,315.4995,305.4739,303.3144,303.1488,304.0543,302.7874
Jabalpur,2017,316.1239,305.8495,302.7007,303.4177,305.986,303.5098
Jabalpur,2018,315.1691,305.782,298.2157,302.9438,305.877,304.0256
Jabalpur,2019,319.3238,307.269,300.5854,302.556,302.8086,302.9802
Jhabua,2010,315.6804,304.6877,300.2038,305.6064,309.6083,306.5503
Jhabua,2011,314.3543,307.1771,299.9368,303.4587,309.3847,309.0789
Jhabua,2012,313.8243,311.2252,301.3187,303.4028,309.1115,307.0703
Jhabua,2013,313.2251,297.1741,298.8328,303.7316,306.6973,305.4428
Jhabua,2014,315.2184,310.6698,303.9131,304.4891,308.886,308.1658
Jhabua,2015,315.972,305.963,302.5162,306.1896,310.8191,309.2845
Jhabua,2016,316.6843,302.0629,298.245,301.8205,305.9174,306.5983
Jhabua,2017,311.2249,304.1902,300.0042,304.0762,308.9309,306.7742
Jhabua,2018,312.474,302.8619,298.4823,303.652,309.0272,307.9709
Jhabua,2019,316.9116,306.9745,299.5574,299.5331,304.4644,304.4508
Katni,2010,316.9544,310.9634,302.9579,303.2993,304.0273,303.8217
Katni,2011,316.951,303.8606,301.7768,302.4197,304.6965,303.4245
Katni,2012,315.3023,312.6157,302.285,302.861,304.5534,302.3696
Katni,2013,316.5758,302.7295,300.5081,302.8488,302.3031,301.5689
Katni,2014,315.8806,310.9627,305.4859,305.1392,304.6313,303.41
Katni,2015,315.4682,304.3267,304.9754,304.6446,306.6254,303.6269
Katni,2016,313.922,304.8555,303.0278,302.9244,303.7066,302.4521
Katni,2017,315.016,303.1874,303.4606,303.3985,305.377,302.9621
Katni,2018,314.6282,309.8091,303.9989,302.4761,304.8435,303.2499
Katni,2019,317.7651,306.6822,300.9358,301.5612,301.6694,302.699
Mandla,2010,316.2883,306.9262,301.6847,301.9187,302.7378,302.1193
Mandla,2011,317.1676,303.1601,302.7461,301.8533,303.6243,302.6408
Mandla,2012,314.3283,310.2594,300.7324,302.8133,303.5361,301.1077
Mandla,2013,315.9871,300.4397,301.0356,302.3827,301.3588,300.6863
Mandla,2014,315.6318,308.3552,303.3576,303.3134,303.2741,301.694
Mandla,2015,314.0684,303.4246,303.8206,302.9733,304.5289,302.3351
Mandla,2016,314.5779,298.2198,302.1658,301.9438,302.0924,301.4471
Mandla,2017,314.8421,302.9108,300.8865,302.1265,303.6227,302.123
Mandla,2018,312.8407,303.6768,296.7401,302.3875,304.2997,303.2171
Mandla,2019,318.5313,305.161,299.557,301.1638,301.5941,301.3756
Mandsaur,2010,317.7422,309.6567,300.2555,307.0603,311.6309,306.0591
Mandsaur,2011,316.9096,308.7978,299.5324,305.5796,310.6708,306.3287
Mandsaur,2012,315.1543,315.1459,300.3779,304.7838,310.1626,304.2032
Mandsaur,2013,314.5946,307.2488,299.2527,306.5904,308.0912,303.1146
Mandsaur,2014,315.7196,311.9371,306.7696,304.7224,310.4542,306.4779
Mandsaur,2015,317.2214,306.2214,300.8436,309.5663,311.9983,306.5027
Mandsaur,2016,318.0618,307.2779,300.2052,306.3985,308.9185,305.8372
Mandsaur,2017,314.7922,310.813,300.8852,307.4853,311.6235,304.5077
Mandsaur,2018,312.5545,306.3439,299.1497,305.2798,310.6667,305.3175
Mandsaur,2019,319.4564,309.2268,300.7458,301.8892,305.3519,303.9295
Morena,2010,318.0531,312.1732,306.0203,305.1674,308.5425,302.416
Morena,2011,316.8146,308.3164,304.4507,307.5702,310.4935,305.236
Morena,2012,316.1586,312.7469,302.8972,306.231,308.8674,302.3518
Morena,2013,313.5376,304.8764,302.9644,305.725,306.0998,302.8315
Morena,2014,317.5078,312.4839,308.8967,307.5055,309.3895,304.7518
Morena,2015,317.1698,307.8006,304.0192,309.4299,311.7943,304.8775
Morena,2016,3.15E+02,305.3558,301.3379,306.8017,309.0978,304.6427
Morena,2017,316.3026,311.7563,306.6321,307.0352,311.0867,303.8398
Morena,2018,313.5945,314.4393,304.8629,304.2552,308.8381,303.5981
Morena,2019,318.0861,310.5136,302.5664,303.9472,306.6305,303.4645
Narsinghpur,2010,316.1383,311.4696,303.3231,304.212,305.7264,304.8089
Narsinghpur,2011,315.9993,306.7665,303.9386,304.3509,307.2146,305.275
Narsinghpur,2012,315.3155,309.4689,301.0861,304.9482,307.6085,303.7824
Narsinghpur,2013,315.1456,301.3114,299.8228,305.6344,305.0626,303.3233
Narsinghpur,2014,316.067,310.1458,305.5776,304.7964,305.7966,304.0892
Narsinghpur,2015,314.7597,305.6969,303.5614,305.9473,308.1782,304.8397
Narsinghpur,2016,314.4414,305.9955,303.3406,303.5465,304.3849,303.0782
Narsinghpur,2017,314.7873,303.5639,302.7363,303.5942,306.3182,303.8021
Narsinghpur,2018,312.1083,307.9954,297.7864,304.0129,306.6187,304.4
Narsinghpur,2019,317.096,308.9767,301.1322,300.0821,303.949,303.3887
Neemuch,2010,317.467,310.6926,302.0859,306.0163,309.7889,303.5189
Neemuch,2011,316.5797,306.9378,300.6929,305.1601,309.8376,306.3874
Neemuch,2012,315.2318,313.9846,302.179,304.574,309.3652,304.2636
