Temperature - (Celsius), Year, Element, Area
34.1559, 2015, JUL, Betul
28.3252, 2015, AUG, Betul
30.915, 2015, SEP, Betul
33.7625, 2015, OCT, Betul
32.2461, 2015, NOV, Betul
42.7385, 2016, JUN, Betul
27.7598, 2016, JUL, Betul
29.6474, 2016, AUG, Betul
27.6625, 2016, SEP, Betul
30.3611, 2016, OCT, Betul
30.8699, 2016, NOV, Betul
40.3201, 2017, JUN, Betul
31.4451, 2017, JUL, Betul
29.2198, 2017, AUG, Betul
29.0898, 2017, SEP, Betul
30.5611, 2017, OCT, Betul
30.5185, 2017, NOV, Betul
38.884, 2018, JUN, Betul
33.026, 2018, JUL, Betul
26.5898, 2018, AUG, Betul
29.0896, 2018, SEP, Betul
32.7465, 2018, OCT, Betul
32.4438, 2018, NOV, Betul
45.8587, 2019, JUN, Betul
34.7159, 2019, JUL, Betul
26.6767, 2019, AUG, Betul
26.0099, 2019, SEP, Betul
28.9261, 2019, OCT, Betul
29.2124, 2019, NOV, Betul
46.4875, 2010, JUN, Bhind
39.4038, 2010, JUL, Bhind
34.795, 2010, AUG, Bhind
32.3317, 2010, SEP, Bhind
35.0532, 2010, OCT, Bhind
29.7919, 2010, NOV, Bhind
43.8495, 2011, JUN, Bhind
35.0241, 2011, JUL, Bhind
33.1719, 2011, AUG, Bhind
35.3175, 2011, SEP, Bhind
37.4447, 2011, OCT, Bhind
31.6804, 2011, NOV, Bhind
43.4778, 2012, JUN, Bhind
35.5833, 2012, JUL, Bhind
30.1194, 2012, AUG, Bhind
34.4072, 2012, SEP, Bhind
36.2588, 2012, OCT, Bhind
29.4433, 2012, NOV, Bhind
40.0246, 2013, JUN, Bhind
34.3291, 2013, JUL, Bhind
31.0079, 2013, AUG, Bhind
32.2593, 2013, SEP, Bhind
32.9547, 2013, OCT, Bhind
29.3231, 2013, NOV, Bhind
45.9394, 2014, JUN, Bhind
42.7698, 2014, JUL, Bhind
36.097, 2014, AUG, Bhind
34.8865, 2014, SEP, Bhind
36.5217, 2014, OCT, Bhind
31.349, 2014, NOV, Bhind
44.379, 2015, JUN, Bhind
36.9916, 2015, JUL, Bhind
32.6878, 2015, AUG, Bhind
35.7502, 2015, SEP, Bhind
38.2279, 2015, OCT, Bhind
32.2291, 2015, NOV, Bhind
41.0966, 2016, JUN, Bhind
36.6762, 2016, JUL, Bhind
28.3608, 2016, AUG, Bhind
34.0911, 2016, SEP, Bhind
35.99, 2016, OCT, Bhind
30.6854, 2016, NOV, Bhind
43.9117, 2017, JUN, Bhind
36.3451, 2017, JUL, Bhind
35.5377, 2017, AUG, Bhind
34.5604, 2017, SEP, Bhind
38.0993, 2017, OCT, Bhind
30.2266, 2017, NOV, Bhind
40.003, 2018, JUN, Bhind
40.1594, 2018, JUL, Bhind
34.1096, 2018, AUG, Bhind
32.2364, 2018, SEP, Bhind
36.4279, 2018, OCT, Bhind
30.2816, 2018, NOV, Bhind
44.6306, 2019, JUN, Bhind
37.8025, 2019, JUL, Bhind
31.8884, 2019, AUG, Bhind
31.6806, 2019, SEP, Bhind
33.1878, 2019, OCT, Bhind
30.1845, 2019, NOV, Bhind
44.2798, 2010, JUN, Bhopal
35.0323, 2010, JUL, Bhopal
28.9373, 2010, AUG, Bhopal
32.1024, 2010, SEP, Bhopal
36.0194, 2010, OCT, Bhopal
32.7919, 2010, NOV, Bhopal
44.194, 2011, JUN, Bhopal
33.4799, 2011, JUL, Bhopal
29.0243, 2011, AUG, Bhopal
31.7969, 2011, SEP, Bhopal
36.328, 2011, OCT, Bhopal
33.8032, 2011, NOV, Bhopal
42.8175, 2012, JUN, Bhopal
37.4065, 2012, JUL, Bhopal
28.7037, 2012, AUG, Bhopal
31.452, 2012, SEP, Bhopal
36.3588, 2012, OCT, Bhopal
32.2985, 2012, NOV, Bhopal
43.1558, 2013, JUN, Bhopal
26.6573, 2013, JUL, Bhopal
28.1204, 2013, AUG, Bhopal
32.7119, 2013, SEP, Bhopal
34.8743, 2013, OCT, Bhopal
30.8909, 2013, NOV, Bhopal
43.6842, 2014, JUN, Bhopal
39.6705, 2014, JUL, Bhopal
34.3718, 2014, AUG, Bhopal
32.289, 2014, SEP, Bhopal
35.8685, 2014, OCT, Bhopal
33.8788, 2014, NOV, Bhopal
44.7419, 2015, JUN, Bhopal
33.6636, 2015, JUL, Bhopal
28.021, 2015, AUG, Bhopal
33.8191, 2015, SEP, Bhopal
38.4154, 2015, OCT, Bhopal
34.1266, 2015, NOV, Bhopal
42.8595, 2016, JUN, Bhopal
28.6316, 2016, JUL, Bhopal
27.4731, 2016, AUG, Bhopal
32.0073, 2016, SEP, Bhopal
34.7765, 2016, OCT, Bhopal
32.6458, 2016, NOV, Bhopal
42.0536, 2017, JUN, Bhopal
33.899, 2017, JUL, Bhopal
28.6126, 2017, AUG, Bhopal
32.6403, 2017, SEP, Bhopal
35.8581, 2017, OCT, Bhopal
31.6339, 2017, NOV, Bhopal
39.3378, 2018, JUN, Bhopal
34.3874, 2018, JUL, Bhopal
25.2642, 2018, AUG, Bhopal
32.8506, 2018, SEP, Bhopal
36.855, 2018, OCT, Bhopal
32.766, 2018, NOV, Bhopal
47.498, 2019, JUN, Bhopal
35.5654, 2019, JUL, Bhopal
26.8947, 2019, AUG, Bhopal
25.7853, 2019, SEP, Bhopal
31.1202, 2019, OCT, Bhopal
30.8985, 2019, NOV, Bhopal
44.7428, 2010, JUN, Burhanpur
30.386, 2010, JUL, Burhanpur
28.6263, 2010, AUG, Burhanpur
31.6122, 2010, SEP, Burhanpur
33.3822, 2010, OCT, Burhanpur
32.3685, 2010, NOV, Burhanpur
43.7547, 2011, JUN, Burhanpur
34.2743, 2011, JUL, Burhanpur
27.8035, 2011, AUG, Burhanpur
30.6326, 2011, SEP, Burhanpur
34.3062, 2011, OCT, Burhanpur
34.5133, 2011, NOV, Burhanpur
43.0722, 2012, JUN, Burhanpur
35.5797, 2012, JUL, Burhanpur
29.0097, 2012, AUG, Burhanpur
31.0097, 2012, SEP, Burhanpur
33.7162, 2012, OCT, Burhanpur
32.8094, 2012, NOV, Burhanpur
42.85, 2013, JUN, Burhanpur
28.5263, 2013, JUL, Burhanpur
27.206, 2013, AUG, Burhanpur
31.3304, 2013, SEP, Burhanpur
31.5182, 2013, OCT, Burhanpur
31.6316, 2013, NOV, Burhanpur
43.8683, 2014, JUN, Burhanpur
40.1636, 2014, JUL, Burhanpur
35.6635, 2014, AUG, Burhanpur
31.9797, 2014, SEP, Burhanpur
34.2413, 2014, OCT, Burhanpur
33.9375, 2014, NOV, Burhanpur
44.5548, 2015, JUN, Burhanpur
38.4109, 2015, JUL, Burhanpur
31.3507, 2015, AUG, Burhanpur
32.6003, 2015, SEP, Burhanpur
35.6807, 2015, OCT, Burhanpur
34.8793, 2015, NOV, Burhanpur
42.8063, 2016, JUN, Burhanpur
27.722, 2016, JUL, Burhanpur
28.951, 2016, AUG, Burhanpur
28.8541, 2016, SEP, Burhanpur
31.252, 2016, OCT, Burhanpur
31.9513, 2016, NOV, Burhanpur
39.5864, 2017, JUN, Burhanpur
32.4269, 2017, JUL, Burhanpur
28.9353, 2017, AUG, Burhanpur
30.2989, 2017, SEP, Burhanpur
32.4802, 2017, OCT, Burhanpur
32.0774, 2017, NOV, Burhanpur
40.4288, 2018, JUN, Burhanpur
38.9902, 2018, JUL, Burhanpur
7.005, 2018, AUG, Burhanpur
30.9212, 2018, SEP, Burhanpur
34.2921, 2018, OCT, Burhanpur
34.1816, 2018, NOV, Burhanpur
46.2434, 2019, JUN, Burhanpur
36.4325, 2019, JUL, Burhanpur
28.1417, 2019, AUG, Burhanpur
29.4158, 2019, SEP, Burhanpur
30.5447, 2019, OCT, Burhanpur
29.0832, 2019, NOV, Burhanpur
45.9335, 2010, JUN, Chhatarpur
40.5949, 2010, JUL, Chhatarpur
29.1024, 2010, AUG, Chhatarpur
31.2966, 2010, SEP, Chhatarpur
33.3256, 2010, OCT, Chhatarpur
31.8594, 2010, NOV, Chhatarpur
44.0421, 2011, JUN, Chhatarpur
33.4709, 2011, JUL, Chhatarpur
29.7639, 2011, AUG, Chhatarpur
30.617, 2011, SEP, Chhatarpur
34.5856, 2011, OCT, Chhatarpur
31.7551, 2011, NOV, Chhatarpur
44.4643, 2012, JUN, Chhatarpur
40.9005, 2012, JUL, Chhatarpur
27.7083, 2012, AUG, Chhatarpur
30.9548, 2012, SEP, Chhatarpur
34.9407, 2012, OCT, Chhatarpur
30.7254, 2012, NOV, Chhatarpur
41.8291, 2013, JUN, Chhatarpur
30.0758, 2013, JUL, Chhatarpur
27.43, 2013, AUG, Chhatarpur
31.2733, 2013, SEP, Chhatarpur
32.2304, 2013, OCT, Chhatarpur
29.8361, 2013, NOV, Chhatarpur
44.4722, 2014, JUN, Chhatarpur
39.5971, 2014, JUL, Chhatarpur
33.566, 2014, AUG, Chhatarpur
33.4408, 2014, SEP, Chhatarpur
35.0467, 2014, OCT, Chhatarpur
32.963, 2014, NOV, Chhatarpur
43.7648, 2015, JUN, Chhatarpur
33.6473, 2015, JUL, Chhatarpur
30.7203, 2015, AUG, Chhatarpur
34.2545, 2015, SEP, Chhatarpur
38.4086, 2015, OCT, Chhatarpur
33.5079, 2015, NOV, Chhatarpur
46.2613, 2016, JUN, Chhatarpur
31.6569, 2016, JUL, Chhatarpur
29.7267, 2016, AUG, Chhatarpur
31.9321, 2016, SEP, Chhatarpur
34.5318, 2016, OCT, Chhatarpur
31.2215, 2016, NOV, Chhatarpur
43.211, 2017, JUN, Chhatarpur
33.2584, 2017, JUL, Chhatarpur
30.5591, 2017, AUG, Chhatarpur
32.4111, 2017, SEP, Chhatarpur
36.1591, 2017, OCT, Chhatarpur
31.6737, 2017, NOV, Chhatarpur
43.6994, 2018, JUN, Chhatarpur
38.9245, 2018, JUL, Chhatarpur
29.0459, 2018, AUG, Chhatarpur
30.9201, 2018, SEP, Chhatarpur
35.961, 2018, OCT, Chhatarpur
31.8917, 2018, NOV, Chhatarpur
45.7261, 2019, JUN, Chhatarpur
36.9996, 2019, JUL, Chhatarpur
29.1049, 2019, AUG, Chhatarpur
29.0041, 2019, SEP, Chhatarpur
31.2938, 2019, OCT, Chhatarpur
30.8995, 2019, NOV, Chhatarpur
42.6794, 2010, JUN, Chhindwara
33.4121, 2010, JUL, Chhindwara
29.2148, 2010, AUG, Chhindwara
30.1288, 2010, SEP, Chhindwara
31.0447, 2010, OCT, Chhindwara
29.3999, 2010, NOV, Chhindwara
43.2737, 2011, JUN, Chhindwara
31.7873, 2011, JUL, Chhindwara
27.1337, 2011, AUG, Chhindwara
29.8908, 2011, SEP, Chhindwara
32.6535, 2011, OCT, Chhindwara
32.0204, 2011, NOV, Chhindwara
42.5955, 2012, JUN, Chhindwara
33.6497, 2012, JUL, Chhindwara
27.8504, 2012, AUG, Chhindwara
30.0277, 2012, SEP, Chhindwara
31.747, 2012, OCT, Chhindwara
30.2412, 2012, NOV, Chhindwara
43.5749, 2013, JUN, Chhindwara
27.8669, 2013, JUL, Chhindwara
26.6069, 2013, AUG, Chhindwara
30.3409, 2013, SEP, Chhindwara
29.2636, 2013, OCT, Chhindwara
29.4053, 2013, NOV, Chhindwara
43.8985, 2014, JUN, Chhindwara
38.992, 2014, JUL, Chhindwara
31.6473, 2014, AUG, Chhindwara
31.5587, 2014, SEP, Chhindwara
31.9601, 2014, OCT, Chhindwara
30.8588, 2014, NOV, Chhindwara
41.7127, 2015, JUN, Chhindwara
32.8351, 2015, JUL, Chhindwara
30.6004, 2015, AUG, Chhindwara
31.3247, 2015, SEP, Chhindwara
33.3183, 2015, OCT, Chhindwara
31.1227, 2015, NOV, Chhindwara
42.5881, 2016, JUN, Chhindwara
30.223, 2016, JUL, Chhindwara
28.6416, 2016, AUG, Chhindwara
28.72, 2016, SEP, Chhindwara
30.2327, 2016, OCT, Chhindwara
30.5098, 2016, NOV, Chhindwara
42.0205, 2017, JUN, Chhindwara
33.0279, 2017, JUL, Chhindwara
28.793, 2017, AUG, Chhindwara
28.9916, 2017, SEP, Chhindwara
30.9876, 2017, OCT, Chhindwara
29.9425, 2017, NOV, Chhindwara
39.8516, 2018, JUN, Chhindwara
32.6088, 2018, JUL, Chhindwara
28.8658, 2018, AUG, Chhindwara
29.3812, 2018, SEP, Chhindwara
31.8633, 2018, OCT, Chhindwara
31.762, 2018, NOV, Chhindwara
46.6284, 2019, JUN, Chhindwara
36.4507, 2019, JUL, Chhindwara
26.3233, 2019, AUG, Chhindwara
26.1387, 2019, SEP, Chhindwara
28.9158, 2019, OCT, Chhindwara
28.9562, 2019, NOV, Chhindwara
45.2693, 2010, JUN, Damoh
38.2112, 2010, JUL, Damoh
29.4012, 2010, AUG, Damoh
30.8685, 2010, SEP, Damoh
32.953, 2010, OCT, Damoh
32.1346, 2010, NOV, Damoh
45.1555, 2011, JUN, Damoh
32.5874, 2011, JUL, Damoh
29.7884, 2011, AUG, Damoh
30.9156, 2011, SEP, Damoh
34.8061, 2011, OCT, Damoh
32.7316, 2011, NOV, Damoh
43.7072, 2012, JUN, Damoh
38.9733, 2012, JUL, Damoh
28.6451, 2012, AUG, Damoh
30.9891, 2012, SEP, Damoh
35.1133, 2012, OCT, Damoh
31.5044, 2012, NOV, Damoh
44.1821, 2013, JUN, Damoh
29.5079, 2013, JUL, Damoh
27.2756, 2013, AUG, Damoh
31.309, 2013, SEP, Damoh
31.7208, 2013, OCT, Damoh
30.3225, 2013, NOV, Damoh
45.004, 2014, JUN, Damoh
38.327, 2014, JUL, Damoh
33.6159, 2014, AUG, Damoh
33.6323, 2014, SEP, Damoh
34.8678, 2014, OCT, Damoh
32.9341, 2014, NOV, Damoh
43.7263, 2015, JUN, Damoh
32.7441, 2015, JUL, Damoh
29.7257, 2015, AUG, Damoh
33.4287, 2015, SEP, Damoh
37.1788, 2015, OCT, Damoh
32.9789, 2015, NOV, Damoh
44.3681, 2016, JUN, Damoh
34.7161, 2016, JUL, Damoh
29.8224, 2016, AUG, Damoh
31.5265, 2016, SEP, Damoh
33.6482, 2016, OCT, Damoh
31.6327, 2016, NOV, Damoh
43.7805, 2017, JUN, Damoh
35.9162, 2017, JUL, Damoh
30.2349, 2017, AUG, Damoh
31.9342, 2017, SEP, Damoh
35.4817, 2017, OCT, Damoh
31.4244, 2017, NOV, Damoh
42.9131, 2018, JUN, Damoh
36.9699, 2018, JUL, Damoh
30.3966, 2018, AUG, Damoh
31.4644, 2018, SEP, Damoh
35.8737, 2018, OCT, Damoh
32.9007, 2018, NOV, Damoh
46.5288, 2019, JUN, Damoh
36.7711, 2019, JUL, Damoh
28.2898, 2019, AUG, Damoh
29.1895, 2019, SEP, Damoh
30.8857, 2019, OCT, Damoh
31.4606, 2019, NOV, Damoh
45.3234, 2010, JUN, Datia
39.2965, 2010, JUL, Datia
33.2985, 2010, AUG, Datia
32.3783, 2010, SEP, Datia
34.9872, 2010, OCT, Datia
31.0732, 2010, NOV, Datia
42.5216, 2011, JUN, Datia
34.6817, 2011, JUL, Datia
32.9581, 2011, AUG, Datia
34.4699, 2011, SEP, Datia
37.4743, 2011, OCT, Datia
32.2594, 2011, NOV, Datia
43.4147, 2012, JUN, Datia
35.8521, 2012, JUL, Datia
29.9393, 2012, AUG, Datia
33.6943, 2012, SEP, Datia
36.159, 2012, OCT, Datia
29.9871, 2012, NOV, Datia
41.1041, 2013, JUN, Datia
33.661, 2013, JUL, Datia
30.8741, 2013, AUG, Datia
31.2622, 2013, SEP, Datia
33.172, 2013, OCT, Datia
29.8024, 2013, NOV, Datia
45.3317, 2014, JUN, Datia
41.9844, 2014, JUL, Datia
33.9517, 2014, AUG, Datia
33.1194, 2014, SEP, Datia
35.833, 2014, OCT, Datia
31.8872, 2014, NOV, Datia
43.587, 2015, JUN, Datia
38.3605, 2015, JUL, Datia
32.5031, 2015, AUG, Datia
34.3577, 2015, SEP, Datia
37.5969, 2015, OCT, Datia
31.9555, 2015, NOV, Datia
41.9275, 2016, JUN, Datia
33.9733, 2016, JUL, Datia
29.6178, 2016, AUG, Datia
33.5255, 2016, SEP, Datia
36.7989, 2016, OCT, Datia
31.6847, 2016, NOV, Datia
43.1471, 2017, JUN, Datia
38.7675, 2017, JUL, Datia
33.6183, 2017, AUG, Datia
33.5265, 2017, SEP, Datia
37.802, 2017, OCT, Datia
30.8875, 2017, NOV, Datia
41.0361, 2018, JUN, Datia
40.2773, 2018, JUL, Datia
31.656, 2018, AUG, Datia
31.0511, 2018, SEP, Datia
35.3228, 2018, OCT, Datia
30.1786, 2018, NOV, Datia
44.8807, 2019, JUN, Datia
39.2374, 2019, JUL, Datia
30.2128, 2019, AUG, Datia
28.8122, 2019, SEP, Datia
31.0368, 2019, OCT, Datia
30.4356, 2019, NOV, Datia
43.5959, 2010, JUN, Dewas
32.6863, 2010, JUL, Dewas
